,flight_number,origin,dest
213129,YX 4363,BNA,LGA
213149,AA 57,JFK,AUS
213177,AA 1324,LGA,RDU
213216,9E 3297,MSP,EWR
213290,C5 4906,STL,EWR
213368,G4 1921,EWR,VPS
213438,C5 4888,EWR,MKE
213659,WN 3112,PHX,EWR
213674,DL 570,ATL,EWR
213735,DL 305,EWR,DTW
213743,UA 1237,EWR,BOS
213766,YX 3496,EWR,PIT
213891,YX 5894,LGA,RDU
213994,YX 5962,LGA,BNA
214085,9E 4836,CHS,LGA
214132,DL 1330,DTW,JFK
214222,WN 1140,LGA,DEN
214395,UA 263,EWR,PBI
214403,WN 4489,OAK,EWR
214456,WN 897,LGA,MCI
214464,DL 2936,SFO,JFK
214553,9E 4783,LGA,MSN
214663,YX 5885,LGA,BUF
214694,9E 5342,CLT,LGA
214713,EV 3965,EWR,BNA
214870,MQ 3308,PIT,LGA
214883,AA 2122,LGA,PHL
215144,9E 4887,RIC,LGA
215159,9E 3492,LGA,MSN
215164,YX 6007,GSO,LGA
215215,DL 694,BOS,LGA
215310,UA 1634,EWR,CVG
215352,WN 771,LGA,DEN
215468,DL 2917,JFK,TPA
215509,9E 4003,LGA,CLE
215590,YX 6015,LGA,CMH
215668,EV 4357,DAY,EWR
215733,EV 4028,GRR,EWR
215943,WN 156,SAN,EWR
216010,AA 2586,JFK,ATL
216087,WN 3583,MCO,LGA
216169,YX 6070,CLT,LGA
216250,YX 3461,STL,EWR
216262,WN 1056,LGA,MDW
216272,YX 3465,EWR,MKE
216310,DL 2097,DTW,EWR
216676,WN 278,MDW,EWR
216681,MQ 4037,CMH,LGA
216765,YX 5987,PIT,LGA
216779,UA 1480,PWM,EWR
216827,EV 4366,EWR,RDU
217023,C5 4932,BUF,EWR
217049,DL 1062,LGA,IAH
217140,DL 1953,LGA,RSW
217148,UA 476,TPA,EWR
217233,AA 1637,ORD,LGA
217251,YX 4530,LGA,PIT
217309,DL 1683,LGA,DEN
217320,DL 1650,JFK,DTW
217359,OO 3664,LGA,BNA
217403,WN 56,LGA,ATL
217516,WN 5158,TPA,LGA
217630,C5 4949,EWR,CLE
217746,YX 6127,BOS,LGA
217867,YX 3456,BUF,EWR
217988,DL 1528,JFK,MCO
218151,WN 5081,LGA,MDW
218253,YX 5935,IND,LGA
218305,C5 4937,EWR,JAX
218377,AA 1742,PHX,EWR
218381,WN 256,EWR,AUS
218412,YX 4600,LGA,AGS
218482,OO 3739,LGA,SYR
218511,WN 1598,LGA,MDW
218622,MQ 3914,ORF,JFK
218737,YX 6028,DFW,LGA
218751,YX 5990,BOS,EWR
218761,C5 4946,EWR,GSP
218855,9E 4905,LGA,BTV
218910,YX 3572,IAD,EWR
218975,YX 5962,CLE,LGA
219022,YX 3715,EWR,DFW
219314,EV 4035,EWR,CVG
219438,AA 2902,SAT,JFK
219497,WN 3631,LGA,BNA
219606,WN 4162,DAL,LGA
219632,EV 4015,GSO,EWR
219666,AA 1912,MIA,LGA
219822,EV 4428,ORF,EWR
219827,OO 3655,SAV,LGA
219888,9E 4851,LGA,TYS
219927,9E 3462,PWM,LGA
219942,YX 5894,JAX,LGA
220124,OO 4190,LGA,MKE
220147,WN 5467,BNA,LGA
220346,EV 3998,EWR,BOS
220479,YX 5957,LGA,MSY
220508,9E 3384,MCI,LGA
220513,YX 6064,JFK,PIT
220545,YX 5890,ROC,LGA
220581,G7 6182,DTW,EWR
220613,DL 1100,LGA,DTW
220620,EV 4228,EWR,IND
220675,9E 4750,BUF,LGA
220717,WN 2541,AUS,EWR
220733,OO 3641,SYR,LGA
220741,DL 2963,JFK,LAS
220756,9E 3336,STL,LGA
220766,WN 3159,DEN,EWR
220942,EV 4051,EWR,CLT
220989,MQ 3358,ORF,LGA
220994,OO 3698,LGA,CLT
220995,WN 163,ATL,LGA
221218,AA 622,LGA,ATL
221313,WN 2061,LGA,DAL
221318,WN 3712,LGA,BNA
221357,YX 3553,EWR,GSP
221377,WN 5509,ATL,LGA
221381,MQ 3969,BNA,LGA
221406,YX 6082,JAX,LGA
221453,UA 780,MSY,EWR
221467,WN 2633,LGA,ATL
221684,YX 5954,PIT,LGA
221950,YX 6114,LGA,RDU
222176,MQ 4245,LGA,GSO
222229,OO 3700,CAE,LGA
222271,WN 3021,MCO,LGA
222377,DL 1807,JFK,MSY
222520,WN 473,STL,EWR
222627,YX 5948,CLT,LGA
222750,MQ 3344,LGA,SAV
222753,AA 2862,RDU,LGA
222762,WN 4092,MDW,LGA
222827,AA 1173,CLT,EWR
222886,OO 3644,LGA,RDU
223105,UA 260,CHS,EWR
223109,AA 1523,EWR,PHX
223125,WN 5816,LGA,BNA
223160,YX 6087,LGA,AGS
223277,WN 3209,LGA,DEN
223308,EV 3979,CLT,EWR
223391,WN 5615,LGA,MKE
223636,C5 4932,EWR,MSN
223681,WN 5512,EWR,BNA
223702,WN 2513,DAL,LGA
223707,YX 5914,MCI,LGA
223723,9E 3495,EWR,DTW
223760,9E 5430,OMA,LGA
223876,WN 142,EWR,BNA
223883,DL 679,EWR,DTW
223949,WN 3992,DEN,LGA
223951,EV 4292,ORD,LGA
224101,9E 3285,LGA,RDU
224108,YX 3491,DTW,EWR
224137,AA 381,EWR,CLT
224227,YX 3571,IND,EWR
224286,DL 466,MSN,LGA
224312,UA 471,PHX,EWR
224341,WN 3047,BNA,LGA
224425,YX 5890,LGA,ROC
224466,9E 3347,BGR,LGA
224554,UA 2443,IAD,EWR
224570,YX 3616,EWR,ATL
224616,OO 3972,MKE,LGA
224635,9E 3413,MCI,LGA
224680,9E 3414,SRQ,JFK
224704,DL 736,LGA,BOS
224774,WN 1077,MDW,EWR
224812,9E 3420,BOS,JFK
224949,WN 4535,LGA,BNA
225184,OO 4195,LGA,ORD
225195,WN 3841,LGA,BNA
225314,YX 3511,CHS,EWR
225324,G4 1963,VPS,EWR
225395,WN 2065,EWR,MDW
225425,WN 4728,LGA,MKE
225476,AA 2565,EWR,ORD
225500,EV 4254,EWR,MHT
225513,AS 1156,LAX,EWR
225558,AA 1753,MIA,LGA
225568,WN 2190,EWR,MDW
225733,WN 2712,EWR,PHX
225813,WN 3220,HOU,LGA
226015,YX 3523,EYW,EWR
226028,WN 2732,LGA,DAL
226137,C5 5004,RIC,EWR
226161,C5 5020,CHS,EWR
226185,YX 5877,PIT,LGA
226190,YX 3623,ORD,LGA
226351,WN 1660,LGA,MCO
226379,YX 4339,LGA,DCA
226538,DL 1197,LAX,JFK
226627,DL 661,SFO,JFK
226645,OO 3658,ORD,JFK
226662,DL 2511,BOS,LGA
226665,WN 2836,BNA,LGA
226686,9E 5204,JFK,RIC
226690,YX 6049,LGA,BUF
226746,YX 5981,BOS,EWR
226784,DL 2545,BOS,LGA
226794,C5 4996,EWR,ELM
226936,G7 6181,EWR,MSP
226949,9E 3350,IND,JFK
226996,AA 1677,EWR,CLT
227032,9E 3368,JFK,CLE
227044,YX 3555,EWR,BTV
227116,DL 1355,TPA,JFK
227167,YX 5957,JFK,ROC
227181,YX 6075,BOS,LGA
227217,WN 2178,LGA,DAL
227308,AA 111,JFK,CLT
227340,YX 3688,EWR,ROC
227478,UA 302,EWR,DTW
227485,EV 4187,RIC,EWR
227559,UA 1556,EWR,IAH
227562,WN 4846,MDW,LGA
227769,DL 1376,LGA,SRQ
227832,DL 1246,LGA,BOS
227911,WN 4555,LGA,DAL
227919,EV 3994,EWR,MYR
227988,AA 803,EWR,ORD
228071,UA 1826,MCI,EWR
228077,9E 3356,SAV,LGA
228144,9E 3300,LGA,MKE
228171,UA 1548,LAX,EWR
228193,AA 96,LGA,MIA
228219,OO 3540,LGA,CLT
228307,YV 6272,IAH,LGA
228395,YX 6067,LGA,BOS
228516,YX 3422,EWR,BGR
228563,OH 5064,PIT,LGA
228599,WN 4826,MDW,EWR
228682,OO 5520,LGA,ORD
228700,9E 3433,CVG,LGA
228736,EV 4013,DCA,EWR
228743,DL 875,LGA,RSW
228755,9E 5169,LGA,STL
228817,UA 1643,EWR,IAD
228901,9E 5134,CVG,LGA
229092,WN 3076,EWR,MDW
229136,ZW 3784,LGA,IAD
229443,C5 4994,SYR,EWR
229497,EV 4361,RDU,EWR
229513,WN 5727,MSY,LGA
229576,YX 5955,JFK,BUF
229630,UA 296,EWR,HDN
229808,YX 3524,EWR,CVG
229863,UA 1162,EWR,DTW
229893,MQ 3374,ORF,LGA
229979,YX 4299,LGA,TYS
230077,WN 1291,ATL,LGA
230139,9E 5161,LGA,CMH
230369,DL 1256,PBI,LGA
230419,B6 1511,JFK,RSW
230420,OO 3551,CLT,LGA
230495,C5 4998,EWR,CVG
230508,DL 2616,TPA,JFK
230593,OO 3714,LGA,BNA
230664,WN 2668,LGA,HOU
230730,9E 4755,BNA,JFK
230804,YX 3413,EWR,GSO
230891,AA 2893,ATL,LGA
230976,G4 1395,CVG,EWR
231006,WN 5477,LGA,ATL
231045,DL 2993,JFK,ATL
231091,9E 5223,JFK,DTW
231117,OO 4090,LGA,CHS
231136,WN 5124,BNA,LGA
231340,WN 4630,LGA,ATL
231366,YX 6083,HHH,LGA
231375,OO 3777,GSO,LGA
231483,WN 835,BNA,EWR
231484,C5 4996,SYR,EWR
231657,WN 636,MDW,LGA
231772,WN 6732,LGA,HOU
231880,WN 5143,ATL,LGA
231979,DL 1277,DFW,LGA
231986,OO 3648,MKE,LGA
232000,G4 1238,EWR,AVL
232037,9E 3286,LGA,BGR
232143,9E 5015,SAV,LGA
232158,C5 4913,EWR,MSN
232233,WN 3790,LGA,BNA
232304,YX 3428,EWR,DFW
232509,OO 3699,LGA,DFW
232525,9E 5232,LGA,RIC
232530,B6 2580,JFK,BOS
232578,YX 3403,EWR,BTV
232641,YX 3551,GSP,EWR
232712,UA 2318,IAD,EWR
232756,9E 3365,LGA,IND
232822,WN 46,MKE,LGA
232867,YX 3670,EWR,MYR
232878,OO 3984,IAH,LGA
232961,WN 4181,BNA,LGA
232998,WN 1733,LGA,BNA
233005,WN 2170,ATL,LGA
233013,YX 4395,CMH,LGA
233094,UA 1078,EWR,IAH
233097,YX 3498,EWR,ATL
233110,OO 4116,IAH,LGA
233132,OO 3729,LGA,SAV
233248,WN 2598,ATL,LGA
233363,OO 3567,LGA,MKE
233479,YX 3530,MYR,EWR
233537,EV 4094,EWR,DCA
233717,DL 1871,JFK,LAS
233746,OO 3518,SYR,LGA
233801,YV 6274,LGA,IAH
233825,9E 3451,MVY,LGA
233846,OO 3802,LGA,CLE
233935,YX 5875,LGA,IND
233966,WN 4050,MDW,LGA
233976,WN 4442,DAL,LGA
234022,9E 3397,CHS,JFK
234275,9E 3420,BNA,JFK
234332,9E 3391,PIT,LGA
234347,WN 2613,LGA,BNA
234349,AA 1404,MIA,EWR
234354,YX 5998,DFW,LGA
234360,DL 704,LGA,IAH
234404,DL 2040,DTW,LGA
234409,9E 3383,IND,LGA
234523,YX 4567,IND,LGA
234545,YX 3439,EWR,IAD
234596,9E 5204,BWI,JFK
234710,OO 3526,LGA,BNA
234872,C5 4938,EWR,CHS
234882,9E 3319,DCA,JFK
234903,AA 1424,LGA,CMH
234905,YX 5944,BNA,LGA
234925,YX 6114,MSN,LGA
235325,YX 3415,LGA,ORD
235328,OO 4111,LGA,ORD
235405,YX 6057,LGA,PIT
235568,WN 744,DAL,LGA
235650,OO 3635,LGA,SYR
235654,WN 3406,ATL,LGA
235739,UA 1799,DEN,EWR
235779,YX 4530,ILM,LGA
235822,DL 2715,JFK,MCO
236083,OO 3721,MKE,LGA
236176,WN 734,MDW,LGA
236277,OH 5525,LGA,ORF
236503,OO 4075,GSP,LGA
236525,DL 2024,DFW,LGA
236569,YX 5887,CMH,LGA
236580,EV 4096,BUF,EWR
236615,AS 1098,JFK,LAX
236670,OO 3694,DFW,LGA
236684,WN 2808,LGA,HOU
236778,AA 2191,MIA,LGA
236872,YX 5976,PIT,LGA
236924,C5 4949,EWR,BNA
236932,OO 3872,CHS,JFK
237001,DL 1695,SAN,JFK
237007,UA 1025,IAH,LGA
237066,YX 6089,BNA,LGA
237119,WN 1722,DEN,LGA
237258,WN 4289,LGA,MDW
237396,YX 4528,AGS,LGA
237470,YX 6021,BUF,LGA
237480,EV 4471,BGR,EWR
237482,B6 1617,BOS,JFK
237498,WN 6766,DAL,LGA
237541,C5 4925,EWR,MSN
237775,YX 3608,SRQ,EWR
237776,WN 3166,ATL,LGA
237873,C5 4976,IND,EWR
237877,C5 4882,BNA,EWR
237893,C5 4880,EWR,CMH
237895,DL 2343,FLL,JFK
237925,YX 3681,EWR,CLT
238118,WN 3331,LGA,DAL
238213,YX 4384,LGA,CLT
238393,WN 6549,BNA,LGA
238503,OO 5973,ORD,LGA
238546,YX 3688,EWR,ATL
238584,WN 5077,EWR,PHX
238629,WN 6875,TPA,LGA
238631,OO 3603,JFK,ORD
238817,DL 1434,JFK,TPA
238896,YX 5871,LGA,IAH
238926,9E 3405,JFK,BOS
239072,YX 3416,DFW,EWR
239074,YX 6105,LGA,BNA
239207,9E 3338,LGA,CLT
239331,EV 4261,CAK,EWR
239434,9E 3367,BOS,JFK
239492,DL 352,LGA,DFW
239621,WN 3141,MDW,LGA
239643,WN 2514,LGA,TPA
239711,YX 3441,ATL,EWR
239779,UA 2019,EWR,SJU
239994,EV 4400,DTW,EWR
240041,DL 777,LGA,DTW
240075,WN 5424,PHX,EWR
240265,UA 586,EWR,AUS
240293,DL 1339,STL,LGA
240324,9E 3324,LGA,RIC
240427,EV 4005,EWR,DTW
240499,WN 3138,LGA,DAL
240630,AA 2801,MIA,EWR
240797,OO 4024,LGA,SAV
240829,DL 2390,JFK,SFO
240885,9E 3488,CAE,LGA
240992,DL 1754,LAX,JFK
241091,C5 4983,STL,EWR
241128,YX 4365,LGA,ILM
241368,DL 2423,LAS,JFK
241599,C5 4987,CVG,EWR
241610,OO 3809,ORD,JFK
241650,YX 5969,IND,JFK
241680,YX 6093,BNA,LGA
241755,DL 1093,DCA,JFK
241787,UA 1256,EWR,IAH
242034,WN 1374,LGA,MDW
242038,WN 4787,MCI,LGA
242259,YX 5915,LGA,MKE
242340,YX 3478,EWR,DAY
242392,DL 882,LGA,IAH
242395,9E 3289,ROC,LGA
242483,WN 574,LGA,DAL
242529,YX 6095,JFK,CMH
242564,WN 5223,LGA,MDW
242617,WN 3526,LGA,BNA
242734,YX 3485,CLE,LGA
242949,AA 2265,CLT,EWR
242961,EV 4260,EWR,CVG
243042,YX 5900,JAX,LGA
243310,OO 4159,RIC,JFK
243348,WN 4114,STL,EWR
243375,OO 3824,DTW,EWR
243429,WN 2354,ATL,LGA
243470,UA 1116,RSW,EWR
243537,WN 3330,DEN,LGA
243577,WN 2196,LGA,MKE
243677,WN 3313,EWR,MDW
243685,DL 738,LAS,JFK
243780,WN 860,LGA,MDW
243783,YX 3530,DTW,EWR
243917,C5 4872,EWR,CHS
244103,UA 1480,DTW,EWR
244169,WN 5347,MDW,LGA
244196,YX 6060,EYW,LGA
244281,9E 3438,LGA,BGR
244321,WN 768,EWR,DEN
244400,OO 3571,ORD,JFK
244552,UA 849,SFO,EWR
244642,DL 1205,JFK,JAX
244750,AA 2616,ORD,LGA
244891,EV 4199,RDU,EWR
244918,YX 5940,LGA,IND
244941,AA 1913,LGA,DFW
244985,EV 4412,PIT,EWR
244996,YX 3700,EWR,GSO
245000,AA 508,ORD,LGA
245095,WN 3519,LGA,ATL
245116,MQ 3933,LGA,RDU
245127,MQ 3347,CMH,LGA
245178,OO 3953,OMA,LGA
245208,YX 6002,RDU,LGA
245303,WN 3002,DEN,LGA
245352,DL 998,EWR,MSP
245408,C5 5018,EWR,JAX
245428,WN 3404,PHX,EWR
245436,UA 910,EWR,LAS
245459,WN 3557,DEN,LGA
245496,MQ 3308,BOS,JFK
245570,OO 3586,LGA,BNA
245644,WN 5089,TPA,LGA
245850,AA 2051,LGA,ATL
245893,YX 3491,EWR,BNA
245929,WN 1626,LGA,DAL
245958,YX 4417,ILM,LGA
245976,9E 3382,LGA,CHS
246007,OO 3502,BNA,LGA
246008,WN 1692,MDW,LGA
246132,UA 1081,EWR,DCA
246176,AA 208,MIA,LGA
246275,EV 4013,EWR,MSP
246488,DL 2809,DTW,EWR
246525,EV 4068,DTW,EWR
246637,YX 5873,LGA,PIT
246809,WN 5742,STL,EWR
246918,9E 3384,SAV,LGA
246955,UA 1162,EWR,SFO
247012,UA 1078,SNA,EWR
247105,AA 46,LGA,CLT
247149,EV 3972,AVL,EWR
247165,YX 9393,DCA,JFK
247212,WN 5681,MDW,EWR
247246,DL 890,LGA,MCO
247268,WN 1158,HOU,LGA
247275,C5 4929,DCA,EWR
247316,YX 6035,MCI,LGA
247320,WN 153,LGA,DAL
247339,DL 2384,JFK,TPA
247431,WN 2662,BNA,LGA
247465,9E 5431,CVG,JFK
247581,EV 4416,SYR,EWR
247845,B6 726,TPA,JFK
247979,WN 1798,BNA,LGA
248002,MQ 3617,JFK,RDU
248115,WN 4691,MKE,LGA
248189,YX 6096,MCI,LGA
248400,WN 4119,HOU,LGA
248434,C5 4984,JAX,EWR
248471,WN 1957,LGA,DEN
248485,MQ 3560,BWI,JFK
248509,WN 4795,HOU,LGA
248512,OO 3933,BUF,JFK
248720,YX 3498,EWR,SAV
248911,YX 3673,PIT,EWR
248989,DL 569,LGA,RSW
248998,OO 3565,MSP,EWR
249000,C5 4910,CHS,EWR
249058,WN 650,MSY,LGA
249143,9E 3379,LGA,CLE
249163,9E 5195,LGA,CHS
249174,OO 3744,SRQ,LGA
249177,YX 5890,CMH,LGA
249184,YX 6038,LGA,BOS
249426,WN 3121,LGA,BNA
249504,9E 3479,BUF,JFK
249562,OO 4746,EWR,DTW
249608,YX 3509,EWR,IND
249748,DL 1251,LGA,PBI
249758,UA 1043,EWR,ATL
249789,YX 6123,RDU,LGA
249843,WN 5294,LGA,HOU
249886,OO 3675,BNA,JFK
249893,C5 4964,EWR,ORF
249933,9E 3323,LGA,ORF
249946,MQ 4173,DTW,LGA
250012,MQ 3558,IND,JFK
250076,YX 5896,BOS,JFK
250141,DL 2476,LGA,FLL
250362,MQ 3871,CLE,LGA
250455,YX 5975,LGA,STL
250499,9E 3297,CLE,LGA
250520,DL 947,LAX,JFK
250532,YX 6085,EWR,BOS
250680,WN 3822,MCI,LGA
250961,9E 3465,LGA,DSM
251104,WN 4935,STL,LGA
251313,OO 3974,LGA,ORD
251360,AA 2522,SEA,JFK
251384,WN 2316,LGA,BNA
251461,WN 4420,HOU,LGA
251568,YX 3463,EWR,STL
251690,OO 3582,LGA,GSO
251912,EV 4096,TYS,EWR
251944,9E 3288,AVL,LGA
251966,UA 515,LGA,ORD
252101,DL 715,TVC,LGA
252199,WN 6205,DEN,LGA
252210,WN 4248,LGA,BNA
252238,9E 3586,ORD,JFK
252310,YX 3495,BGR,EWR
252430,WN 3158,DEN,EWR
252431,YX 4552,RIC,LGA
252454,EV 4273,SBN,EWR
252519,DL 1723,RSW,JFK
252773,C5 4947,EWR,ROC
252778,9E 3454,CHO,LGA
252842,DL 560,JFK,CLT
253174,AA 272,ORD,EWR
253261,DL 348,SJU,JFK
253345,9E 5068,PIT,LGA
253407,UA 1173,EWR,TPA
253458,9E 4829,BTV,JFK
253460,EV 4147,EWR,BOS
253475,9E 5153,LGA,SYR
253476,OO 4234,LGA,BOS
253529,YX 5872,LGA,CHS
253582,OO 3742,RDU,LGA
253885,C5 4984,GSO,EWR
254340,WN 409,MDW,EWR
254377,9E 5122,SRQ,JFK
254401,WN 5103,MDW,EWR
254634,YX 9387,JFK,DCA
254649,OO 3776,LGA,CLT
254688,DL 875,LGA,CVG
254718,YX 3674,PIT,EWR
254776,9E 3287,ORF,LGA
254860,WN 4563,BNA,LGA
254870,WN 2238,LGA,MKE
254876,9E 3380,LGA,MEM
255011,AA 235,LGA,ATL
255051,DL 2319,JFK,ATL
255067,DL 2450,EWR,DTW
255084,OO 3601,STL,LGA
255127,WN 2581,MDW,LGA
255136,MQ 3421,SAV,LGA
255163,9E 3415,LGA,JAX
255179,UA 329,LGA,IAH
255207,C5 4231,EWR,CHS
255588,DL 2246,JFK,SAN
255591,DL 1436,ATL,EWR
255593,DL 679,LGA,ORD
255761,9E 5212,ROC,LGA
255778,WN 2421,LGA,ATL
255799,UA 2265,EWR,MSN
256023,9E 5311,LGA,BUF
256127,EV 4265,EWR,JAX
256155,UA 1926,LAX,EWR
256165,YX 5918,JFK,IND
256203,AA 2312,ATL,JFK
256219,C5 4996,EWR,BGR
256302,DL 2572,LGA,BOS
256381,WN 5823,LGA,ATL
256420,YX 3514,EWR,RIC
256495,OO 3825,PIT,LGA
256533,WN 4644,BNA,LGA
256553,YX 5987,RDU,LGA
256631,YX 5954,JFK,BOS
256638,DL 1209,SFO,JFK
256640,YX 5900,LGA,CLT
256645,WN 1277,MDW,LGA
256649,WN 3033,EWR,STL
256770,EV 3994,EWR,RDU
256842,9E 3452,LGA,RIC
256992,9E 3447,DFW,JFK
257223,DL 1123,EWR,DTW
257234,DL 1233,JAX,LGA
257292,YX 3536,ORD,LGA
257358,YX 5885,LGA,PIT
257524,9E 3282,LGA,BUF
257533,EV 4341,EWR,GSP
257709,OO 3515,LGA,BUF
257725,WN 2839,STL,EWR
257747,WN 3442,LGA,ATL
257957,9E 3397,JFK,CHS
258022,OO 3751,BNA,JFK
258223,WN 3393,LGA,ATL
258391,AA 907,LGA,MCO
258399,YX 3565,EWR,DFW
258478,DL 898,LGA,PBI
258580,9E 3464,LGA,ORF
258582,WN 3351,LGA,FLL
258597,B6 2034,JFK,BTV
258812,YX 6113,LGA,CLE
258906,YX 3463,EWR,MKE
258921,AA 2214,MIA,LGA
259144,WN 2993,MDW,LGA
259170,WN 5005,LGA,ATL
259181,WN 4833,LGA,ATL
259196,YX 5884,LGA,CLE
259380,WN 4385,BNA,LGA
259389,YX 3438,EWR,ROC
259668,9E 3449,LGA,BUF
259794,WN 5118,LGA,MCI
260085,WN 3961,EWR,STL
260154,YX 3566,EWR,IAD
260255,YX 3598,GRR,EWR
260300,WN 5639,BNA,LGA
260303,9E 3374,PIT,LGA
260482,WN 836,LGA,MCI
260525,YX 6090,BOS,LGA
260623,WN 2162,SAN,EWR
260641,WN 4504,HOU,LGA
260806,DL 2529,JFK,ROC
260813,9E 3394,JAX,JFK
260877,YX 3714,EWR,BTV
260963,WN 3344,EWR,MDW
261088,DL 1230,JFK,JAX
261120,WN 6742,LGA,BNA
261132,UA 228,LGA,ORD
261180,UA 1627,PWM,EWR
261266,9E 5419,JFK,JAX
261286,DL 1525,JFK,SFO
261328,YX 3691,EWR,CHS
261387,WN 1583,LGA,MDW
261491,UA 758,EWR,SLC
261493,9E 3493,ROC,LGA
261563,YX 3551,DAY,EWR
261576,WN 3045,MKE,LGA
261712,YX 3449,SAV,EWR
261749,EV 3997,EWR,MKE
261890,UA 802,LGA,DEN
262021,YX 3492,ATL,EWR
262048,YX 3643,EWR,PWM
262060,C5 4908,PWM,EWR
262153,DL 967,ATL,EWR
262219,UA 1162,EWR,MEM
262332,C5 4943,CHS,EWR
262393,9E 5364,MKE,LGA
262436,EV 4096,EWR,AVL
262445,F9 423,LGA,ATL
262448,YX 4620,PHL,LGA
262597,9E 5335,CMH,LGA
262647,WN 2664,LGA,ATL
262665,WN 2839,ATL,LGA
262680,9E 3377,GRR,LGA
262695,WN 2046,LGA,ATL
262921,WN 882,DEN,EWR
262962,WN 3751,ATL,LGA
263020,9E 5242,LGA,PWM
263042,OH 5202,DAY,LGA
263071,9E 5323,JFK,BUF
263082,YX 3603,ROC,EWR
263312,YX 3677,IND,EWR
263336,EV 4203,STL,EWR
263350,AA 196,ORD,LGA
263404,OO 3562,LGA,CHS
263418,9E 5410,JFK,ORF
263470,YX 4355,ILM,LGA
263648,YX 3439,EWR,DAY
263718,DL 907,DTW,LGA
263728,YX 3578,LGA,CLE
263858,9E 3366,PIT,LGA
263895,EV 4240,PWM,EWR
264024,DL 891,LGA,IAH
264159,WN 6516,MCI,LGA
264172,DL 750,LGA,BOS
264249,EV 4125,IND,EWR
264317,WN 1382,EWR,STL
264355,YX 5973,LGA,SDF
264473,OO 4918,CHS,JFK
264524,WN 6466,MDW,LGA
264556,UA 280,RDU,EWR
264576,WN 3170,LGA,BNA
264687,WN 4550,MDW,LGA
264723,UA 596,EWR,BNA
264841,YX 4353,RIC,LGA
264873,YX 4338,BOS,LGA
264915,OO 3638,BHM,LGA
265003,9E 3452,MCI,LGA
265039,9E 3384,LGA,CLE
265138,EV 3969,EWR,CVG
265204,G7 6187,MSP,EWR
265215,DL 1280,EWR,DTW
265238,DL 2812,JFK,SLC
265277,EV 4097,EWR,AVL
265328,WN 4143,DAL,LGA
265528,YX 5964,LGA,CHS
265561,AS 1187,EWR,SFO
265562,9E 3451,DTW,JFK
265721,AA 487,JFK,CLT
265856,OO 4073,LGA,PIT
265866,WN 5256,MSY,LGA
266054,C5 4006,EWR,MEM
266119,MQ 4243,JFK,RDU
266215,WN 4895,LGA,DEN
266272,UA 1521,EWR,SFO
266323,AA 370,CLT,LGA
266336,9E 3493,LGA,MCI
266360,WN 1069,STL,EWR
266524,UA 1616,EWR,JAX
266525,EV 4067,BUF,EWR
266616,DL 2683,MCO,LGA
266617,WN 5282,MKE,LGA
266830,9E 3420,JFK,ORF
266863,YX 3655,CHS,EWR
266974,WN 735,DEN,LGA
267156,WN 743,LGA,DAL
267300,OO 4114,ORD,LGA
267413,YX 3609,BTV,EWR
267567,YX 4570,LGA,STL
267584,YX 5907,LGA,ROC
267616,EV 4398,CLT,EWR
267837,MQ 3781,JFK,RIC
267842,OO 3685,RIC,LGA
267855,OO 3582,LGA,ORD
267863,9E 3312,LGA,ORF
268009,WN 4356,MSY,LGA
268090,YX 6024,BUF,LGA
268105,EV 4481,EWR,DCA
268289,C5 4982,GSP,EWR
268298,YX 4578,PIT,LGA
268346,B6 1474,CHS,JFK
268426,DL 427,EWR,DTW
268433,UA 1925,LAS,EWR
268473,DL 828,IAH,LGA
268642,DL 2621,JFK,DEN
268684,DL 2511,JFK,SEA
268736,WN 4832,MDW,LGA
268745,9E 3420,LGA,CLE
268850,DL 2724,STL,LGA
268934,WN 1462,LGA,MDW
268958,WN 3884,DAL,LGA
269184,9E 3430,RDU,LGA
269346,EV 4477,ORD,LGA
269394,EV 4003,EWR,AVL
269433,UA 421,FLL,EWR
269469,C5 4980,EWR,BUF
269478,WN 2663,HOU,LGA
269480,WN 3883,MCI,LGA
269521,WN 3528,LGA,STL
269529,UA 1601,EWR,IAH
269537,OH 5210,PIT,JFK
269714,WN 4673,LGA,DAL
269827,WN 3098,EWR,MDW
269880,UA 480,FLL,EWR
270004,YX 6047,CLT,LGA
270009,DL 1216,JFK,FLL
270093,WN 3309,EWR,MDW
270135,OO 4178,EWR,MSP
270189,OO 3804,LGA,MSN
270216,YX 5872,LGA,PIT
270311,WN 4875,MDW,EWR
270315,DL 2005,JFK,DEN
270495,WN 2022,LGA,FLL
270668,YX 4671,LGA,CHS
270764,9E 5266,CHS,JFK
270791,UA 1282,EWR,IAD
270877,9E 3465,LGA,BUF
270932,YX 3474,EWR,BUF
270986,DL 2845,LGA,MCO
271139,WN 1257,LGA,HOU
271194,OH 5350,RDU,JFK
271239,OO 3623,ORF,LGA
271386,DL 1567,MCO,LGA
271416,OO 3679,CHS,JFK
271425,WN 3497,ATL,LGA
271499,OO 3735,LGA,BNA
271793,WN 3445,LGA,DAL
271868,DL 2120,DFW,JFK
272146,WN 3196,DEN,LGA
272230,UA 700,EWR,MCI
272236,WN 5542,EWR,DEN
272367,WN 4188,MDW,EWR
272478,OO 3799,STL,LGA
272505,YX 3644,EWR,SRQ
272528,EV 4024,EWR,XNA
272536,UA 1754,EWR,SEA
272541,DL 329,JFK,DTW
